,Strategy,Symbol,TimeFrame,Direction,SecType,OrderType,Tif,Quantity,OrderId,Side,Comment,TimeStamp,Price
1,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,1,buy,Long | 0.99058,2022-11-02 05:00:00Z,0.99069
2,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,1,sell,Exit Long | 0.98972,2022-11-02 05:45:00Z,0.98985
3,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,2,buy,Long | 0.99084,2022-11-02 08:15:00Z,0.99105
4,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,2,sell,Exit Long | 0.98991,2022-11-02 08:45:00Z,0.98972
5,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,3,sell,Short | 0.98832,2022-11-02 09:45:00Z,0.98823
6,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,3,buy,Exit Short | 0.98833,2022-11-02 12:45:00Z,0.98855
7,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,4,buy,Long | 0.9944,2022-11-02 13:15:00Z,0.99437
8,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,4,sell,Exit Long | 0.98869,2022-11-02 14:00:00Z,0.98845
9,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,5,sell,Short | 0.98406,2022-11-02 14:30:00Z,0.98329
10,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,5,buy,Exit Short | 0.98203,2022-11-02 17:45:00Z,0.9819
11,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,6,sell,Short | 0.97819,2022-11-03 03:00:00Z,0.97885
12,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,6,buy,Exit Short | 0.97926,2022-11-03 03:15:00Z,0.97802
13,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,7,sell,Short | 0.97745,2022-11-03 03:30:00Z,0.97791
14,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,7,buy,Exit Short | 0.97522,2022-11-03 07:00:00Z,0.97499
15,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,8,buy,Long | 0.97717,2022-11-03 22:00:00Z,0.97761
16,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,8,sell,Exit Long | 0.9788,2022-11-04 01:30:00Z,0.97849
17,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,9,buy,Long | 0.98114,2022-11-04 06:15:00Z,0.98083
18,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,9,sell,Exit Long | 0.97973,2022-11-04 07:15:00Z,0.97956
19,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,10,buy,Long | 0.98082,2022-11-04 07:45:00Z,0.98083
20,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,10,sell,Exit Long | 0.9894,2022-11-04 10:45:00Z,0.98956
21,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,11,buy,Long | 0.99627,2022-11-05 13:30:00Z,0.99626
22,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,11,sell,Exit Long | 0.99611,2022-11-05 14:00:00Z,0.9962
23,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,12,sell,Short | 0.99595,2022-11-05 17:15:00Z,0.99596
24,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,12,buy,Exit Short | 0.99596,2022-11-05 18:00:00Z,0.99595
25,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,13,sell,Short | 0.99579,2022-11-06 02:30:00Z,0.99569
26,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,13,buy,Exit Short | 0.9954,2022-11-06 07:15:00Z,0.99541
27,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,14,sell,Short | 0.99464,2022-11-06 13:30:00Z,0.99464
28,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,14,buy,Exit Short | 0.99203,2022-11-06 17:45:00Z,0.99214
29,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,15,buy,Long | 0.99809,2022-11-07 03:45:00Z,0.99785
30,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,15,sell,Exit Long | 0.99927,2022-11-07 05:45:00Z,0.99916
31,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,16,buy,Long | 1.00284,2022-11-07 14:00:00Z,1.00314
32,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,16,sell,Exit Long | 1.00288,2022-11-07 15:00Z:00,1.00306
33,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,17,sell,Short | 1.00032,2022-11-08 00:30:00Z,1.0003
34,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,17,buy,Exit Short | 1.00049,2022-11-08 01:15:00Z,1.0005
35,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,18,sell,Short | 0.9999,2022-11-08 01:45:00Z,0.99995
36,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,18,buy,Exit Short | 0.99997,2022-11-08 02:45:00Z,1.00067
37,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,19,sell,Short | 0.99914,2022-11-08 03:30:00Z,0.99919
38,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,19,buy,Exit Short | 1.00001,2022-11-08 03:45:00Z,0.99938
39,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,20,sell,Short | 0.9986,2022-11-08 04:00:00Z,0.99863
40,Trendilo AGX MA T3,EURUSD,M15,FORWARD,FX,MIDPRICE,GTC,10000,20,buy,Exit Short | 0.99972,2022-11-08 04:30:00Z,0.99963